western oklahoma state college, altus, ok, www.wosc.edu
northwestern oklahoma state university, alva, ok, www.nwosu.edu
alvin community college, alvin, tx, www.alvincollege.edu
amarillo college, amarillo, tx, www.actx.edu
exposito school of hair design, amarillo, tx, expositoschoolofhair.com
milan institute of cosmetology-amarillo, amarillo, tx, www.milaninstitute.edu
milan institute-amarillo, amarillo, tx, www.milaninstitute.edu
vista college amarillo, amarillo, tx, vistacollege.edu
wade gordon hairdressing academy, amarillo, tx, www.wadegordonacademy.com
the beauty institute-ambler, ambler, pa, ambler.thebeautyinstituteskp.edu/
barber school of pittsburgh - ambridge, ambridge, pa, www.bsp.edu
trinity episcopal school for ministry, ambridge, pa, www.tsm.edu
mandalyn academy, american fork, ut, www.mandalynacademy.com
georgia southwestern state university, americus, ga, https://gsw.edu/
iowa state university, ames, ia, www.iastate.edu
pci academy-ames, ames, ia, www.pci-academy.com
amherst college, amherst, ma, www.amherst.edu
daemen college, amherst, ny, www.daemen.edu
hampshire college, amherst, ma, www.hampshire.edu
university of massachusetts-amherst, amherst, ma, www.umass.edu
branford hall career institute-amityville, amityville, ny, www.branfordhall.edu
american career college-anaheim, anaheim, ca, americancareercollege.edu/
bethesda university, anaheim, ca, www.buc.edu
california career school, anaheim, ca, www.californiacareerschool.edu
california university of management and sciences, anaheim, ca, www.calums.edu
casa loma college-anaheim campus, anaheim, ca, casalomacollege.edu
coba academy, anaheim, ca, www.coba.edu
intercoast colleges-anaheim, anaheim, ca, www.intercoast.edu
real barbers college, anaheim, ca, www.therealbarbercollege.com
south baylo university, anaheim, ca, www.southbaylo.edu
united education institute-anaheim, anaheim, ca, www.uei.edu
west coast university-orange county, anaheim, ca, westcoastuniversity.edu/
carlson college of massage therapy, anamosa, ia, www.carlsoncollege.com
alaska career college, anchorage, ak, www.alaskacareercollege.edu
alaska pacific university, anchorage, ak, www.alaskapacific.edu
university of alaska anchorage, anchorage, ak, www.uaa.alaska.edu
lurleen b wallace community college, andalusia, al, www.lbwcc.edu
anderson university, anderson, in, https://www.anderson.edu
anderson university, anderson, sc, www.andersonuniversity.edu
forrest college, anderson, sc, www.forrestcollege.edu
harrison college-anderson, anderson, in, harrison.edu
summit salon academy-anderson, anderson, in, www.andersonsalonacademy.com
massachusetts school of law, andover, ma, www.mslaw.edu
erie 2 chautauqua cattaraugus boces-practical nursing program, angola, ny, www.e2ccb.org
trine university, angola, in, www.trine.edu
pacific union college, angwin, ca, www.puc.edu
des moines area community college, ankeny, ia, www.dmacc.edu
faith baptist bible college and theological seminary, ankeny, ia, https://www.faith.edu
concordia university-ann arbor, ann arbor, mi, www.cuaa.edu
ross medical education center-ann arbor, ann arbor, mi, www.rosseducation.edu
university of michigan-ann arbor, ann arbor, mi, www.umich.edu
washtenaw community college, ann arbor, mi, www.wccnet.edu
northern virginia community college, annandale, va, www.nvcc.edu
bard college, annandale-on-hudson, ny, www.bard.edu
st. john's college, annapolis, md, www.sjc.edu
the temple annapolis-a paul mitchell partner school, annapolis, md, templeannapolis.com
lebanon valley college, annville, pa, www.lvc.edu
golf academy of america-orlando, apopka, fl, www.golfacademy.edu
hair design institute, apopka, fl, hairdesigninstitute.edu
house of heavilin beauty college-academy of beauty professionals, appleton, wi, abpwi.com
lawrence university, appleton, wi, www.lawrence.edu
rasmussen college-appleton, appleton, wi, www.rasmussen.edu
the salon professional academy-appleton, appleton, wi, www.tspaappleton.com
cabrillo college, aptos, ca, www.cabrillo.edu
humboldt state university, arcata, ca, www.humboldt.edu
four county career center, archbold, oh, fourcounty.net/site.cfm/adult-education
northwest state community college, archbold, oh, https://northweststate.edu
paul mitchell the school-ardmore, ardmore, ok, paulmitchell.edu/ardmore/
colegio educativo tecnologico industrial inc, arecibo, pr, www.ceticollege.com
icpr junior college-arecibo, arecibo, pr, www.icprjc.edu
institute of beauty careers, arecibo, pr, www.ibcbelleza.com
inter american university of puerto rico-arecibo, arecibo, pr, www.arecibo.inter.edu/portal/default.htm
modern hairstyling institute-arecibo, arecibo, pr, www.modern.edu
national university college-arecibo, arecibo, pr, www.nuc.edu
pontifical catholic university of puerto rico-arecibo, arecibo, pr, www.pucpr.edu/arecibo
university of puerto rico-arecibo, arecibo, pr, www.upra.edu
xtreme career institute -, arecibo, pr, www.xtreme-career.com
henderson state university, arkadelphia, ar, www.hsu.edu
ouachita baptist university, arkadelphia, ar, www.obu.edu
cowley county community college, arkansas city, ks, www.cowley.edu
altierus career college-arlington, arlington, tx, https://www.altierus.org/campus/mid-cities
argosy university-northern virginia, arlington, va, www.argosy.edu/washingtondc
arlington baptist university, arlington, tx, https://abu.edu
brightwood college-arlington, arlington, tx, www.brightwood.edu
cci training center-arlington, arlington, tx, www.ccitraining.edu
chamberlain university-virginia, arlington, va, www.chamberlain.edu
cortiva institute-florida-texas center for massage therapy, arlington, tx, www.texasmassagetherapy.com/
