CA, 717
NY, 454
TX, 453
FL, 415
PA, 382
OH, 319
IL, 280
NC, 188
MI, 187
MO, 187
MA, 186
GA, 178
VA, 176
TN, 173
IN, 158
NJ, 156
PR, 147
OK, 137
MN, 132
LA, 127
AZ, 125
WA, 119
CO, 116
SC, 110
WI, 105
KY, 99
AL, 96
MD, 92
AR, 89
IA, 88
OR, 88
CT, 88
KS, 87
WV, 76
UT, 75
MS, 62
NM, 50
NE, 48
NV, 42
ME, 41
NH, 39
ID, 37
MT, 32
ND, 29
SD, 28
RI, 26
VT, 26
HI, 25
DC, 23
DE, 20
WY, 11
AK, 9
GU, 3
VI, 2
PW, 1
MH, 1
MP, 1
AS, 1
FM, 1
